City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Alofi,NU,2021-08-04 14:40:17,-19.0595,-169.9187,62.49,100,31,1.14
142,New Norfolk,AU,2021-08-04 14:40:17,-42.7826,147.0587,47.91,67,100,1.99
143,Georgetown,MY,2021-08-04 14:40:17,5.4112,100.3354,84.88,85,20,3.0
144,Arraial Do Cabo,BR,2021-08-04 14:40:18,-22.9661,-42.0278,71.56,68,20,13.8
145,Barrow,US,2021-08-04 14:40:18,71.2906,-156.7887,42.82,74,90,9.22
146,Sarangani,PH,2021-08-04 14:40:18,5.4033,125.4636,83.95,75,69,6.53
147,Nhulunbuy,AU,2021-08-04 14:40:19,-12.2333,136.7667,74.01,68,40,10.36
148,Pevek,RU,2021-08-04 14:40:19,69.7008,170.3133,38.28,94,100,4.27
149,Walvis Bay,NA,2021-08-04 14:36:03,-22.9575,14.5053,68.95,60,23,10.36
150,Hailar,CN,2021-08-04 14:40:19,49.2,119.7,58.39,95,100,4.72
151,Linguere,SN,2021-08-04 14:40:20,15.3953,-15.1193,93.15,48,99,8.63
152,Jevnaker,NO,2021-08-04 14:37:28,60.2414,10.385,68.18,57,81,6.58
153,Haines Junction,CA,2021-08-04 14:40:20,60.7522,-137.5108,42.75,100,63,1.14
154,Quelimane,MZ,2021-08-04 14:40:20,-17.8786,36.8883,75.15,64,40,10.36
155,Coihaique,CL,2021-08-04 14:40:21,-45.5752,-72.0662,34.41,93,0,3.44
156,Butaritari,KI,2021-08-04 14:40:21,3.0707,172.7902,82.58,66,95,11.97
157,Dakar,SN,2021-08-04 14:40:21,14.6937,-17.4441,84.33,79,40,6.91
158,San Vicente,AR,2021-08-04 14:40:22,-26.6167,-54.1333,70.59,29,0,3.0
159,Healdsburg,US,2021-08-04 14:40:22,38.6105,-122.8692,71.1,82,90,4.61
160,Congleton,GB,2021-08-04 14:38:25,53.1631,-2.2125,74.28,58,10,4.0
161,Diveyevo,RU,2021-08-04 14:40:22,55.0433,43.2418,70.86,50,82,7.29
162,Kendal,GB,2021-08-04 14:40:23,54.3268,-2.7476,69.73,71,3,8.57
163,Djambala,CG,2021-08-04 14:40:23,-2.5447,14.7533,93.27,19,75,6.58
164,Aktau,KZ,2021-08-04 14:40:23,43.65,51.2,86.58,42,1,11.68
165,La Ronge,CA,2021-08-04 14:40:24,55.1001,-105.2842,64.65,88,90,4.61
166,Mar Del Plata,AR,2021-08-04 14:40:24,-38.0023,-57.5575,57.22,62,0,1.01
167,Saskylakh,RU,2021-08-04 14:40:24,71.9167,114.0833,55.06,55,90,8.61
168,Korla,CN,2021-08-04 14:40:24,41.7597,86.1469,88.99,17,100,6.2
169,Sarangarh,IN,2021-08-04 14:40:25,21.6,83.0833,83.61,69,100,8.57
170,Richards Bay,ZA,2021-08-04 14:40:25,-28.783,32.0377,70.2,68,0,12.71
171,Quepos,CR,2021-08-04 14:40:25,9.4236,-84.1652,90.54,73,69,2.62
172,Changji,CN,2021-08-04 14:40:26,44.0167,87.3167,88.59,23,0,4.47
173,Saint-Pierre,RE,2021-08-04 14:40:26,-21.3393,55.4781,69.48,73,90,18.41
174,Aripuana,BR,2021-08-04 14:40:26,-9.1667,-60.6333,91.9,24,8,6.13
175,Castro Verde,PT,2021-08-04 14:40:27,37.6983,-8.0858,85.42,30,97,15.64
176,Nantucket,US,2021-08-04 14:35:53,41.2835,-70.0995,73.02,83,75,5.75
